Date,Country,Platform,DAU,Impressions
01.01.2017,GERMANY,iOS,17707,82077
01.01.2017,GERMANY,Android,26544,111399
01.01.2017,UNITED KINGDOM,iOS,37218,137807
01.01.2017,UNITED KINGDOM,Android,20247,62276
01.01.2017,UNITED STATES,iOS,203169,736076
01.01.2017,UNITED STATES,Android,138085,417820
01.01.2017,FRANCE,iOS,16130,49722
01.01.2017,FRANCE,Android,20635,55043
01.01.2017,AUSTRALIA,iOS,11247,37092
01.01.2017,AUSTRALIA,Android,3705,10739
01.01.2017,CANADA,iOS,22870,82074
01.01.2017,CANADA,Android,9057,26090
02.01.2017,GERMANY,iOS,17698,75922
02.01.2017,GERMANY,Android,26948,110801
02.01.2017,UNITED KINGDOM,iOS,37353,143322
02.01.2017,UNITED KINGDOM,Android,20582,64596
02.01.2017,UNITED STATES,iOS,214654,844601
02.01.2017,UNITED STATES,Android,145250,474991
02.01.2017,FRANCE,iOS,16317,47495
02.01.2017,FRANCE,Android,21025,51762
02.01.2017,AUSTRALIA,iOS,11336,36835
02.01.2017,AUSTRALIA,Android,3795,11093
02.01.2017,CANADA,iOS,24180,96051
02.01.2017,CANADA,Android,9621,30554
03.01.2017,GERMANY,iOS,17685,80647
03.01.2017,GERMANY,Android,26873,112586
03.01.2017,UNITED KINGDOM,iOS,36467,132230
03.01.2017,UNITED KINGDOM,Android,19707,62308
03.01.2017,UNITED STATES,iOS,206658,766164
03.01.2017,UNITED STATES,Android,141238,444619
03.01.2017,FRANCE,iOS,15542,44616
03.01.2017,FRANCE,Android,19727,51860
03.01.2017,AUSTRALIA,iOS,11106,36115
03.01.2017,AUSTRALIA,Android,3842,10547
03.01.2017,CANADA,iOS,23877,90674
03.01.2017,CANADA,Android,9544,29785
04.01.2017,GERMANY,iOS,17562,77851
04.01.2017,GERMANY,Android,26412,111648
04.01.2017,UNITED KINGDOM,iOS,35397,126406
04.01.2017,UNITED KINGDOM,Android,19377,59625
04.01.2017,UNITED STATES,iOS,201860,742733
04.01.2017,UNITED STATES,Android,138458,435418
04.01.2017,FRANCE,iOS,15892,44432
04.01.2017,FRANCE,Android,19941,51053
04.01.2017,AUSTRALIA,iOS,10987,35363
04.01.2017,AUSTRALIA,Android,3793,10134
04.01.2017,CANADA,iOS,23575,88563
04.01.2017,CANADA,Android,9489,28504
05.01.2017,GERMANY,iOS,17223,80377
05.01.2017,GERMANY,Android,25978,113399
05.01.2017,UNITED KINGDOM,iOS,34637,124729
05.01.2017,UNITED KINGDOM,Android,19029,58343
05.01.2017,UNITED STATES,iOS,200405,734342
05.01.2017,UNITED STATES,Android,138318,430146
05.01.2017,FRANCE,iOS,15255,42404
05.01.2017,FRANCE,Android,19155,46674
05.01.2017,AUSTRALIA,iOS,10890,35952
05.01.2017,AUSTRALIA,Android,3837,10472
05.01.2017,CANADA,iOS,23289,85932
05.01.2017,CANADA,Android,9514,27817
06.01.2017,GERMANY,iOS,17139,81778
06.01.2017,GERMANY,Android,25817,113669
06.01.2017,UNITED KINGDOM,iOS,34572,125378
06.01.2017,UNITED KINGDOM,Android,18805,57650
06.01.2017,UNITED STATES,iOS,200802,750422
06.01.2017,UNITED STATES,Android,137673,434523
06.01.2017,FRANCE,iOS,15276,42339
06.01.2017,FRANCE,Android,18821,46705
06.01.2017,AUSTRALIA,iOS,10822,36427
06.01.2017,AUSTRALIA,Android,3779,10512
06.01.2017,CANADA,iOS,22913,86533
06.01.2017,CANADA,Android,9194,27695
07.01.2017,GERMANY,iOS,17241,78645
07.01.2017,GERMANY,Android,25426,106369
07.01.2017,UNITED KINGDOM,iOS,35895,133944
07.01.2017,UNITED KINGDOM,Android,19635,59410
07.01.2017,UNITED STATES,iOS,209054,804522
07.01.2017,UNITED STATES,Android,142192,437053
07.01.2017,FRANCE,iOS,16187,44802
07.01.2017,FRANCE,Android,19575,47098
07.01.2017,AUSTRALIA,iOS,10738,37524
07.01.2017,AUSTRALIA,Android,3789,10685
07.01.2017,CANADA,iOS,23297,89771
07.01.2017,CANADA,Android,9352,28221
08.01.2017,GERMANY,iOS,17906,83042
08.01.2017,GERMANY,Android,26168,114004
08.01.2017,UNITED KINGDOM,iOS,37008,141456
08.01.2017,UNITED KINGDOM,Android,20193,65346
08.01.2017,UNITED STATES,iOS,212197,822490
08.01.2017,UNITED STATES,Android,145142,450936
08.01.2017,FRANCE,iOS,16789,51969
08.01.2017,FRANCE,Android,20580,53795
08.01.2017,AUSTRALIA,iOS,11029,37287
08.01.2017,AUSTRALIA,Android,3826,11014
08.01.2017,CANADA,iOS,23754,92923
08.01.2017,CANADA,Android,9467,29243
09.01.2017,GERMANY,iOS,17152,72197
09.01.2017,GERMANY,Android,25082,106898
09.01.2017,UNITED KINGDOM,iOS,34790,119774
09.01.2017,UNITED KINGDOM,Android,19028,57008
09.01.2017,UNITED STATES,iOS,199902,720437
09.01.2017,UNITED STATES,Android,138032,406777
09.01.2017,FRANCE,iOS,15601,38379
09.01.2017,FRANCE,Android,18920,46996
09.01.2017,AUSTRALIA,iOS,10781,29311
09.01.2017,AUSTRALIA,Android,3745,9893
09.01.2017,CANADA,iOS,22388,81458
09.01.2017,CANADA,Android,9047,26240
10.01.2017,GERMANY,iOS,17046,79377
10.01.2017,GERMANY,Android,24643,111140
10.01.2017,UNITED KINGDOM,iOS,34574,120760
10.01.2017,UNITED KINGDOM,Android,18335,56826
10.01.2017,UNITED STATES,iOS,198020,724699
10.01.2017,UNITED STATES,Android,135514,401928
10.01.2017,FRANCE,iOS,15378,44836
10.01.2017,FRANCE,Android,18164,46089
10.01.2017,AUSTRALIA,iOS,10711,33956
10.01.2017,AUSTRALIA,Android,3648,9716
10.01.2017,CANADA,iOS,22251,82582
10.01.2017,CANADA,Android,8957,26425
11.01.2017,GERMANY,iOS,17165,79627
11.01.2017,GERMANY,Android,24676,114016
11.01.2017,UNITED KINGDOM,iOS,34245,118784
11.01.2017,UNITED KINGDOM,Android,18513,58171
11.01.2017,UNITED STATES,iOS,197409,691302
11.01.2017,UNITED STATES,Android,135751,400935
11.01.2017,FRANCE,iOS,15170,42559
11.01.2017,FRANCE,Android,18472,47162
11.01.2017,AUSTRALIA,iOS,10577,33387
11.01.2017,AUSTRALIA,Android,3620,9557
11.01.2017,CANADA,iOS,21926,78573
11.01.2017,CANADA,Android,8930,25780
12.01.2017,GERMANY,iOS,16898,67643
12.01.2017,GERMANY,Android,24442,93223
12.01.2017,UNITED KINGDOM,iOS,34010,104330
12.01.2017,UNITED KINGDOM,Android,18508,50695
12.01.2017,UNITED STATES,iOS,195100,651024
12.01.2017,UNITED STATES,Android,135491,377712
12.01.2017,FRANCE,iOS,15062,38182
12.01.2017,FRANCE,Android,18085,42125
12.01.2017,AUSTRALIA,iOS,10498,31479
12.01.2017,AUSTRALIA,Android,3591,9165
12.01.2017,CANADA,iOS,21674,75436
12.01.2017,CANADA,Android,8916,24426
13.01.2017,GERMANY,iOS,16908,64327
13.01.2017,GERMANY,Android,24425,85733
13.01.2017,UNITED KINGDOM,iOS,33623,97260
13.01.2017,UNITED KINGDOM,Android,17938,46662
13.01.2017,UNITED STATES,iOS,193908,584872
13.01.2017,UNITED STATES,Android,133940,320614
13.01.2017,FRANCE,iOS,14877,34539
13.01.2017,FRANCE,Android,17848,37482
13.01.2017,AUSTRALIA,iOS,10523,28345
13.01.2017,AUSTRALIA,Android,3602,7993
13.01.2017,CANADA,iOS,21413,65478
13.01.2017,CANADA,Android,8724,21231
14.01.2017,GERMANY,iOS,16815,58470
14.01.2017,GERMANY,Android,24392,79901
14.01.2017,UNITED KINGDOM,iOS,34582,78407
14.01.2017,UNITED KINGDOM,Android,18956,40734
14.01.2017,UNITED STATES,iOS,200723,518433
14.01.2017,UNITED STATES,Android,139015,301825
14.01.2017,FRANCE,iOS,15322,26747
14.01.2017,FRANCE,Android,18161,31581
14.01.2017,AUSTRALIA,iOS,10338,26472
14.01.2017,AUSTRALIA,Android,3569,8017
14.01.2017,CANADA,iOS,22371,57807
14.01.2017,CANADA,Android,8912,20459
15.01.2017,GERMANY,iOS,17537,66700
15.01.2017,GERMANY,Android,25148,90875
15.01.2017,UNITED KINGDOM,iOS,35703,104877
15.01.2017,UNITED KINGDOM,Android,19399,50227
15.01.2017,UNITED STATES,iOS,204265,600811
15.01.2017,UNITED STATES,Android,141170,341873
15.01.2017,FRANCE,iOS,16170,38581
15.01.2017,FRANCE,Android,19170,44102
15.01.2017,AUSTRALIA,iOS,10604,28955
15.01.2017,AUSTRALIA,Android,3746,8895
15.01.2017,CANADA,iOS,22525,69398
15.01.2017,CANADA,Android,9092,23357
16.01.2017,GERMANY,iOS,16585,59575
16.01.2017,GERMANY,Android,23702,82359
16.01.2017,UNITED KINGDOM,iOS,33583,90175
16.01.2017,UNITED KINGDOM,Android,17996,44083
16.01.2017,UNITED STATES,iOS,206348,595359
16.01.2017,UNITED STATES,Android,142278,336365
16.01.2017,FRANCE,iOS,14929,32447
16.01.2017,FRANCE,Android,17334,36779
16.01.2017,AUSTRALIA,iOS,10301,26997
16.01.2017,AUSTRALIA,Android,3605,7751
16.01.2017,CANADA,iOS,21518,62791
16.01.2017,CANADA,Android,8690,21281
17.01.2017,GERMANY,iOS,16540,60168
17.01.2017,GERMANY,Android,23622,84147
17.01.2017,UNITED KINGDOM,iOS,32993,89916
17.01.2017,UNITED KINGDOM,Android,17813,43663
17.01.2017,UNITED STATES,iOS,196573,559357
17.01.2017,UNITED STATES,Android,136873,325568
17.01.2017,FRANCE,iOS,14463,32110
17.01.2017,FRANCE,Android,17000,35862
