Date,DAU,Impressions
19.12.2016,	4987,	1880
20.12.2016,	5022,	3191
21.12.2016,	4947,	3004
22.12.2016,	5691,	2996
23.12.2016,	8000,	3734
24.12.2016,	8930,	3985
25.12.2016,	9096,	3834
26.12.2016,	10504,	5268
27.12.2016,	11167,	6358
28.12.2016,	11018,	6697
29.12.2016,	11104,	6426
30.12.2016,	11682,	6666
31.12.2016,	11442,	6202
01.01.2017,	13160,	8280
02.01.2017,	13390,	8721
03.01.2017,	13375,	9575
04.01.2017,	12933,	9349
05.01.2017,	12703,	9568
06.01.2017,	11798,	10249
07.01.2017,	12030,	10776
08.01.2017,	11735,	10555
09.01.2017,	11275,	8064
10.01.2017,	10892,	9074
11.01.2017,	10728,	9063
12.01.2017,	10678,	8832
13.01.2017,	11194,	9341
14.01.2017,	11362,	9175
15.01.2017,	11540,	8663
16.01.2017,	11000,	8660
17.01.2017,	11123,	8770
18.01.2017,	11105,	9106
19.01.2017,	11166,	9010
20.01.2017,	10948,	8637
21.01.2017,	10821,	9206
22.01.2017,	10911,	9655
23.01.2017,	10593,	8775
24.01.2017,	10549,	6955
25.01.2017,	10740,	8425
26.01.2017,	10777,	8248
27.01.2017,	11005,	8347
28.01.2017,	11461,	8804
29.01.2017,	12232,	9503
30.01.2017,	12177,	9442
31.01.2017,	12353,	8254
