Date,Original TS Impressions
2016-12-20,3191.0
2016-12-21,3004.0
2016-12-22,2996.0
2016-12-23,3734.0
2016-12-24,3985.0
2016-12-25,3834.0
2016-12-26,5268.0
2016-12-27,6358.0
2016-12-28,6697.0
2016-12-29,6426.0
2016-12-30,6666.0
2016-12-31,6202.0
2017-01-01,8280.0
2017-01-02,8721.0
2017-01-03,9575.0
2017-01-04,9349.0
2017-01-05,9568.0
2017-01-06,10249.0
2017-01-07,10776.0
2017-01-08,10555.0
2017-01-09,8064.0
2017-01-10,9074.0
2017-01-11,9063.0
2017-01-12,8832.0
2017-01-13,9341.0
2017-01-14,9175.0
2017-01-15,8663.0
2017-01-16,8660.0
2017-01-17,8770.0
2017-01-18,9106.0
2017-01-19,9010.0
2017-01-20,8637.0
2017-01-21,9206.0
2017-01-22,9655.0
2017-01-23,8775.0
2017-01-24,6955.0
2017-01-25,8425.0
2017-01-26,8248.0
2017-01-27,8347.0
2017-01-28,8804.0
2017-01-29,9503.0
2017-01-30,9442.0
2017-01-31,8254.0
